mRNA	lncRNA	pcc	adjp
ENSMUSG00000024579.7	ENSMUSG00000066170.6	0.994595483631	0.00424767071832
ENSMUSG00000024583.2	ENSMUSG00000110341.1	0.998606842197	4.25687683362e-06
ENSMUSG00000024587.9	ENSMUSG00000106205.1	0.994474458791	0.00470277702535
ENSMUSG00000024592.15	ENSMUSG00000106993.1	0.994686302391	0.00392845293912
ENSMUSG00000024601.8	ENSMUSG00000113250.1	0.995335759743	0.00213908469032
ENSMUSG00000024613.16	ENSMUSG00000110373.1	0.995213175793	0.00241649384607
ENSMUSG00000024614.6	ENSMUSG00000093629.1	0.99553034122	0.00174897103142
ENSMUSG00000024617.16	ENSMUSG00000103004.1	0.996465817621	0.000563235584058
ENSMUSG00000024622.7	ENSMUSG00000116081.1	0.997388970342	0.000123237249618
ENSMUSG00000024644.16	ENSMUSG00000109018.1	0.995173930212	0.00251079045668
ENSMUSG00000024644.16	ENSMUSG00000110559.1	0.994152913174	0.00608917495582
ENSMUSG00000024665.7	ENSMUSG00000115167.1	0.995663111175	0.00151551094914
ENSMUSG00000024675.19	ENSMUSG00000052658.5	0.996920149942	0.000284644506992
ENSMUSG00000024675.19	ENSMUSG00000085143.1	0.995470293082	0.00186306984742
ENSMUSG00000024675.19	ENSMUSG00000105891.4	0.9958379407	0.00124507040676
ENSMUSG00000024677.13	ENSMUSG00000085566.1	0.996141942683	0.000863876480989
ENSMUSG00000024691.13	ENSMUSG00000107559.1	0.995850218503	0.00122756488705
ENSMUSG00000024712.9	ENSMUSG00000104634.1	0.996237731566	0.000764598468795
ENSMUSG00000024713.15	ENSMUSG00000104222.1	0.994923822231	0.0031784891249
ENSMUSG00000024726.9	ENSMUSG00000105745.1	0.997442166481	0.000110872136959
ENSMUSG00000024735.13	ENSMUSG00000085525.7	0.99364802164	0.00885236435873
